,repeat,fold,aucpr,rocauc,brier,best_iter,n_feats
0,0,0,0.14188593694266624,0.6869307832422586,0.07907718420028687,219,261
1,0,1,0.26313918736919534,0.7795992714025501,0.10243242979049683,64,261
2,0,2,0.274839123177001,0.6334244080145719,0.0930476188659668,96,261
3,0,3,0.14955987470657556,0.5656876138433515,0.19713996350765228,10,261
4,0,4,0.31316695410600354,0.742798353909465,0.07559385150671005,115,261
5,1,0,0.42684646866833925,0.8647540983606558,0.06780700385570526,132,261
6,1,1,0.2745916374480835,0.6345628415300546,0.17008447647094727,22,261
7,1,2,0.2686425634291394,0.7174408014571949,0.08780430257320404,77,261
8,1,3,0.28251678974154376,0.807832422586521,0.08356723189353943,89,261
9,1,4,0.2725353332041679,0.6977594878829447,0.0799747034907341,139,261
10,2,0,0.38918728715886225,0.7461293260473589,0.08604726940393448,87,261
11,2,1,0.2797238124137202,0.8030510018214936,0.06248066574335098,220,261
12,2,2,0.27399446999809507,0.7101548269581057,0.11086910963058472,53,261
13,2,3,0.1838433796921426,0.6766848816029144,0.08226164430379868,138,261
14,2,4,0.27020616085174365,0.7556012802926384,0.08193621784448624,100,261
